Kelvin sıcaklık ölçeği,absolute temperature scale; Kelvin scale; Kelvin temperature scale
mutlak sıcaklık,absolute temperature; thermodynamic temperature
duyusal mutlak eşik,absolute threshold
mutlak algı eşiği,absolute threshold
mutlak algı eşiği,absolute threshold
mutlak değer,absolute value
mutlak hız,absolute velocity
mutlak burgaçlanma,absolute vorticity
mutlak beyaz,absolute white; ideal white
mutlak sıfır,absolute zero
mutlak sürekli ölçü,absolutely continuous measure
mutlak yakınsak seri,absolutely convergent series
tam kuru odun,absolutely dry wood; oven-dry wood
mutlak olarak parçalanamayan cebirsel çokluk,absolutely irreducible algebraic variety
optik yoğunluk,absorbance; optical density; spectral absorptivity
soğrulan doz,absorbed dose
doz soğrulma hızı,absorbed dose rate
emilen doz,absorbed dose; bioavailable dose; internal dose
soğurulan ışıma,absorbed radiation
soğrulan güneş ışınımı,absorbed solar radiation
soğurgan,absorbent
gazlı bez,absorbent gauze
soğurucu,absorber
kontrol çubuğu,absorber rod; control rod
soğurucu kıskaç devresi,absorbing clamp; ferrite clamp
soğurucu Markov zinciri,absorbing Markov chain
soğurucu durum,absorbing state
soğurma oranı,absorptance
soğurma,absorption
soğurma bandı,absorption band
soğurganlık,absorption capacity; absorption power; absorptivity; spectral absorbance
soğurmalı soğutucu,absorption chiller
soğurma katsayısı (,absorption coefficient; absorption factor
soğurma kolonu,absorption column
soğurmalı kontrol,absorption control
soğurma enerjisi,absorption energy
soğurmalı nemölçer,absorption hygrometer; chemical hygrometer
soğurma çizgileri,absorption line
soğurma kaybı,absorption loss
soğurma kaybı,absorption loss
bitkilerde su alımı,absorption of water; water absorption; water uptake in plants
soğurmalı soğutma,absorption refrigeration
soğurmalı soğutma çevrimi,absorption refrigeration cycle
soğurma spektrumu,absorption spectrum
emdirici teras,absorption terrace
soğurma kulesi,absorption tower
ölü kalıp,absorptive formwork; permanent formwork; permanent shuttering; sacrificial form
hesap özeti,abstract account; account statement
soyut cebir,abstract algebra
soyut sınıf,abstract class
soyut bilgisayar,abstract computer; abstract machine
soyut veri tipi,abstract data type
soyut matematik,abstract mathematics
soyut uzay,abstract space
soyutlama,abstraction
sökücü tepkime,abstraction reaction
Abukuma türü fasiyes,Abukuma-type facies series
bolluk,abundance
bolluk zonu,abundance biozone; abundance zone; acme zone; epibole; peak zone
bolluk haritası,abundance map
kimyasal elementlerin bolluğu,abundance of chemical elements
bolluk ölçeği,abundance scale
devamlı mevcut tür,abundant species; constant species
imamkavuğu,abutilon; Indian mallow; velvetleaf
derin deniz,abyss; deep-ocean floor; deep-sea floor; deep layer; deep sea
derin deniz çökeli,abyssal deposit; abyssal sediment
denizaltı yelpazesi,abyssal fan; deep-sea fan; submarine fan; underwater delta
derin deniz ovası,abyssal plain
derin deniz zonu,abyssal zone; abyssopelagic zone; lower midnight zone
abzim,abzyme; catalytic antibody; catalytic monoclonal antibody
dalgalı akım devresi,AC circuit; alternative current circuit
dalgalı akım motoru,AC motor; alternating current motor
priz,AC power socket; electrical outlet; electrical socket; outlet; power point
frekans değiştirici,AC/AC converter; frequency converter
şebeke uyarlama birimi,AC/DC adapter; AC/DC converter; AC adapter; adapter block; domestic mains adapter; line power adapter; plug-in adapter; power adapter
dalgalı akım,AC; alternating current
dalgalı akım,AC; alternating current
akasya,acacia
Arap zamkı,acacia gum; gum arabic
akantit,acanthite
dikenışınlılar,acanthopterygians
akarisit,acaricide
akar,acarina
akarodomasyum,acarodomatium
akarımsı,acaroid
akarbilim,acarology
ACC sentaz,ACC synthase
hızlandırılmış yaşlandırma,accelerated ageing
hızlandırılmış amortisman,accelerated amortization; accelerated depreciation
hızlanmış erozyon,accelerated erosion
hızlandırılmış sınama,accelerated test
kozmik ivmelenme,accelerating expansion of the universe; cosmic acceleration
ivme,acceleration
yerçekimi ivmesi,acceleration due to gravity; acceleration of a falling body; gravitational acceleration; gravitational acceleration due Earth; gravity acceleration; Earth's gravitational acceleration
hızlanma şeridi,acceleration lane
hızlanma evresi,acceleration phase
jikle pompası,accelerator jet
kısayol tuşu,accelerator key; hotkey; key combo; keyboard equivalent; keyboard shortcut; shortcut key
hızlandırma pompası,accelerator pump
gaz pedalı,accelerator; gas pedal; throttle
ivme kaydı,accelerogram
ivmeölçer,accelerometer
vurgu,accent; stress
günlük alınabilecek miktar,acceptable daily intake; ADI value
kabul edilebilir yük,acceptable load
kabul edilebilir uyumluluk yöntemleri,acceptable means of compliance
kabul edilebilir süreç düzeyi,acceptable process level
kabul edilebilir kalite düzeyi,acceptable quality level; admissible quality level; AQL
kabul edilebilir antibiyotik kalıntı düzeyi,acceptable residue level of an antibiotic
kabul edilebilir risk,acceptable risk; negligible risk
kabul,acceptance
kabul açısı,acceptance angle
kabul konisi,acceptance cone
kabul kontrol diyagramı,acceptance control chart
kabul maliyeti,acceptance cost
kabul ölçütü,acceptance criterion
kabul muayenesi,acceptance inspection
kabul sayısı,acceptance number
iş bitim sertifikası,acceptance of construction work; final certificate of completion
malın kabulü,acceptance of goods
hipotezin kabulü,acceptance of hypothesis
kabul olasılığı,acceptance probability; probability of acceptance
kabul yöntemi,acceptance procedure
kabul örneklemesi,acceptance sampling
kabul testlerine dayalı yazılım geliştirme,acceptance test-driven development
kabul bölgesi,acceptance zone
kabul-ret örneklemesi,acceptance-rejection method; rejection sampling
kabul edilen risk,accepted risk
alan atom,acceptor
alan atom enerji düzeyi,acceptor level
gerçekleşebilir potansiyel,accesible potential; practicable potential
erişim,access
erişim yetkisi,access authorization; access right
erişim engelli,access barred
erişim kapsamı,access capability; access profile
erişim sınıfı,access category; authorization level
erişim kontrolü,access control
erişim kontrol anahtarı,access control key; network pass key; privacy key
giriş kontrolü,access control; admission control
otoyol,access controlled highway; controlled-access highway; freeway; motorway
erişim reddi,access denial; denial of access
abone döngüsü,access line; line loop; local exchange loop; local loop; subscriber loop; user line; subscriber line
erişim ağı,access network; outside plant
erişim düğümü,access node
erişim yolu,access path
ağ erişim noktası,access port
erişim ayrıcalıkları,access privileges
erişim protokolü,access protocol; network access protocol
internet hizmet sağlayıcı,access provider; Internet provider; Internet service provider; ISP
otoyol giriş rampası,access ramp; entrance ramp
irtibat yolu,access road
otoyola kontrollü katılım,access road control; motorway access control; ramp control; ramp metering; slip road count
ağ erişim sunucusu,access server; network access server; remote access server; media gateway
erişim süresi,access time
erişim tüneli,access tunnel; access gallery
erişebilirlik,accessibility
erişebilirlik,accessibility
ek giderler,accessorial charges
ek donatı,accessories
aksesuar,accessory
aksesuar dişli kutusu,accessory case; accessory drive; accessory drive gearbox; accessory gearbox
B kromozomu,accessory chromosome; B chromosome; lineage-specific chromosome; supernumerary chromosome
eklenik bulut,accessory cloud
yalancı meyve,accessory fruit; false fruit; pseudocarp; pseudofruit; spurious fruit
aksesuar mineral,accessory mineral
yardımcı pigment,accessory pigment
yardımcı levha,accessory plate; accessory shield
yardımcı seta,accessory seta
yardımcı cinsiyet salgı bezleri,accessory sex glands
iş kazası,accident at work; occupational accident; work accident; occupational injury; occupational accident; industrial accident; injury on duty; injury while on duty
kara nokta,accident black spot; black spot; high accident location
kaza sigortası,accident insurance
kaza uyarısı,accident warning; collision notification; collision warning
rastlantısal maruziyet,accidental exposure
yabancı kaya,accidental inclusion; xenolith
ortama uyumlanma,acclimation
ortama alıştırma,acclimatization
göz uyumu,accommodation
palamar yeri,accommodation berth; berth; mooring place; mooring site
hatır bonosu,accommodation bill
borda iskelesi,accommodation ladder; gangplank
lumbarağzı,accommodation opening; gangway
yaşam mahalli,accommodations
sürücüsüyle araç taşıma,accompanied transport
uyumlu kavuşma,accordant junction; concordant junction
kink kıvrım,accordion fold; concertina fold; kink fold
hesap sorulabilirlik,accountability
muhasebe,accounting
saymanlık,accounting
saymanlık,accounting office
muhasebe kârı,accounting profit
mahsup çeki,account-only check; collection-only check; crossed cheque; elimination cheque
ticari borçlar,accounts payable
alacaklar,accounts receivables; receivables
akredite,accredited
akredite temsilci,accredited representative
yığılımlı büyüme,accretion
yığılımlı büyüme diski,accretion disk
tektonik yığışım,accretion; tectonic accretion
yığışım dağoluşumu,accretionary orogeny; accretionary plate orogeny
yığışım dağoluşumu,accretionary orogeny; accretionary plate orogeny
yığışım prizması,accretionary prism; accretionary wedge
X ışını atarcası,accretion-powered pulsar; accretion powered X-ray pulsar; X-ray pulsar
birikimli sıcaklık,accumulated temperature
birikim,accumulation
yığılma noktası,accumulation point; cluster point; derived point; limit point
biriktirmeli yağışölçer,accumulative precipitation gauge; accumulative rain gauge; storage precipitation gauge
doldurma vanası,accumulator charging valve
hidrolik biriktirici,accumulator tank; hydraulic accumulator
birikeç yazmacı,accumulator; accumulator register
akümülatör,accumulator; storage battery
doğruluk,accuracy
doğruluk analizi,accuracy analysis; accuracy assessment
doğruluk sınıfı,accuracy class
ölçümün doğruluğu,accuracy of measurement; measurement accuracy
doğruluk testi,accuracy testing
ACE engelleyici,ACE inhibitor; angiotensin converting enzyme inhibitor
hücresiz aşı,acellular vaccine
asentrik kromozom,acentric chromosom
Aceria ur akarları,Aceria
Aceria tosichella,Aceria tosichella
ceviz yaprağı ur akarı,Aceria tristriatus; Eriophyes tristriatus
aservul,acervulus
asesulfam potasyum,acesulfame K
çanakçık,acetabulum
asetal,acetal
asetaldehit,acetaldehyde; ethanal
asetamit,acetamide; ethanamide
asetat,acetate
asetat lifi,acetate fiber
asetik asit bakterileri,acetic acid bacteria
asetik asit fermantasyonu,acetic acid fermentation
asetik asit,acetic acid; ethanoic acid
asetik anhidrit,acetic anhydride
asetat oluşumu,acetogenesis
eroin,acetomorphine; diamorphine; heroin
aseton,acetone; dimethyl ketone; propanone
asetonemi,acetonemia
asetofenon,acetophenone; methyl phenyl ketone; phenylethanone
asetil,acetyl
asetil koenzim A,acetyl CoA; acetyl coenzyme A
asetilasyon,acetylation
asetilkolin,acetylcholine
kolinesteraz inhibitörü,acetylcholinesterase inhibitor; AChEI; anti-cholinesterase; cholinesterase inhibitor
asetilkolinesteraz,acetylcholinesterase; acetylhydrolase; AChE
asetilen kaynağı,acetylene welding
asetilen,acetylene; ethyne
asetilür,acetylide
aspirin,acetylsalicylic acid; aspirin
gerçek debi,ACFM; actual cubic feet per minute
kapçık meyve,achene; akene
Ahernar,Achernar; Alpha Eridani
akiyazmatik,achiasmatic
kumsuz göktaşı,achondrite
akondrit,achondrite; differentiated meteorite
albinizm,achromasia; achromatosis; achromia; albinism
tarafsız renk,achromatic color; neutral color
akromatin,achromatin
renksemezlik,achromatism
komşu kanal girişimi,ACI; adjacent channel interference
iğne yaprak,acicular leaf; needle-shaped leaf; needle
iğnemsi martensit,acicular martensite
iğne biçimli buz kristali,acicular snowflake
asit,acid
asidik aerosol,acid aerosol; acidic aerosol
asit anyonu,acid anion
asit baz dengesi,acid base balance; acid base equilibrium
asit sülfit pişirmesi,acid bisulphite process; acid sulphite pulping; acidic sulfite cooking
asit damgası,acid brand
aside dayanıklı tuğla,acid brick; acid resistant brick
asit banyosu,acid bright dip; acid dip
asidik katyon,acid cation
asit bağlama kapasitesi,acid combining capacity
asit çökelmesi,acid deposition
asit iyonlaşma sabiti,acid dissociation constant; acid ionization constant; pKa
asidik boya,acid dye; acidic stain
asit boyarmaddesi,acid dyestuff
asitli sis,acid fog
asitli gaz,acid gas
odunun şekerleştirilmesi,acid hydrolysis of wood; wood hydrolysis; wood saccharification
invertaz,acid invertase; beta-fructosidase; glucosucrase; invertase; saccharase
asidik şerbet,acid liquor
asitli maden drenajı,acid mine drainage; acid rock drainage
asitli maden suyu,acid mine water
asit nötrleştirme kapasitesi,acid neutralizing ability; acid neutralizing capacity
asit yağ,acid oil
asit fosfataz,acid phosphatase
asitle parlatma,acid polishing; acid scaling
asit yağışı,acid precipitation
asit radikali,acid radical
asit yağmuru,acid rain
aside dayanıklı,acid resistant
asit tuz,acid salt
asit şoku,acid shock
asidik cüruf,acid slag
asit çözeltisi,acid solution
aside dayanıklılık,acid stability
asidik çelik,acid steel
asit kuvveti,acid strength
asit tankeri,acid tanker
asitle inceltilmiş nişasta,acid treated starch
asitle işlem,acid treatment
yağda asit sayısı,acid value of lipid
asitli su,"acid water, acidic water"
asit toprak,acide soil; acidic soil
asit oluşturan bakteri,acid-forming bacterium; acidogenic bacteria
asidik,acidic
asidik selülaz,acidic cellulase
asitle mineral uzaklaştırma,acidic deminerilaziton
asidik haşıl sökme,acidic desizing
felsik mineral,acidic mineral; felsic mineral
felsik kayaç,acidic rock; felsic rock
asitlendirme,acidification
asitölçüm,acidimetry
asitte çözünmeyen kül,acid-insoluble ash
asitlik,acidity
asitlik profili,acidity profile
asitlik düzenleyici,acidity regulator
biyoasitleşme,acidogenesis
asitsever organizma,acidophile
asidofilus sütü,acidophilus milk
asidofobik,acidophobic
asidoz,acidosis
asidotrofik,acidotrophic
asitlendirilmiş su,acidulated water
salkımsı,aciniform; grapelike
Acıpayam koyunu,Acipayam sheep
Ackermann direksiyonu,Ackermann steering
alındı karakteri,acknowledge character
alındı bildirimi,acknowledgment; receipt notification
incekoşniller,aclerdid scales
jeomanyetik ekvator,aclinic line; dip equator; magnetic equator
elma klorotik yaprak leke virüsü,ACLSV; apple chlorotic leaf spot virus
Afrika manyok mozaik virüsü,ACMV; African cassava mosaic virus
sölomsuzlar,acoelomata
meşe palamudu,acorn
palamut meşesi kadehi,acorn cup
kestane içkurdu,acorn moth; chesnut tortrix
palamut hortumluböceği,acorn weevil
akustik soğurma katsayısı,acoustic absorption coefficient; acoustic absorption factor; acoustic absorptivity; sound absorption coefficient
ses soğurganlığı,acoustic absorption coefficient; acoustic absorption factor; acoustic absorptivity; sound absorption coefficient
akustik zayıflama,acoustic attenuation
akustik durum gözleme,acoustic condition monitoring; acoustic emission-based condition monitoring
akustik gecikme hattı,acoustic delay line
akustik tanımlayıcılar,acoustic descriptors
sesli algılayıcı,acoustic detector; sonic detector; sound-sensitive detector
akustik dağıltı,acoustic dispersion
akustik kurutma,acoustic drying
akustik emisyon,acoustic emission
akustik yorulma,acoustic fatigue
akustik geribesleme,acoustic feedback
akustik yerçekimi dalgası,acoustic gravity wave
akustik empedans,acoustic impedance; sound impedance
ses yalıtım malzemesi,"acoustic insulation material, soundproofing material, soundproof material"
ses yeğinliği,acoustic intensity; sound intensity
akustik astar,acoustic liner
akustik malzeme,acoustic material
akustik metamalzeme,"acoustic metamaterial, sonic crystal, phononic crystal"
akustik kontrol,acoustic monitoring
akustik gürültü,acoustic noise
akustik sesbilgisi,acoustic phonetics
akustik güç,"acoustic power, sound power"
ses basıncı,acoustic pressure; sound pressure
akustik yayıcı,acoustic radiator
akustik seyrelim,acoustic rarefaction
akustik yansıma katsayısı,acoustic reflectivity; acoustic reflexion coefficient; sound reflection coefficient
akustik rezonanslı anemometre,acoustic resonance anemometer
akustik gölge bölgesi,"acoustic shadow region, shadow zone"
akustik termometre,acoustic thermometer
akustik dönüşüm,acoustic transduction
akustik iyileştirme,acoustic treatment
akustik dalga,acoustic wave
ses dalgası,acoustic wave
akustik ağırlık süzgeci,acoustic weighting filter; weighting network
ses duvarı,acoustical barrier; noise barrier; noise wall; sound barrier; sound berm; soundwall
akustik çevre,acoustical environment
akustik astarlama,"acoustical lining, acoustic lining"
akustik oşinografi,acoustical oceanography
akustik,acoustics
akustik optik,acousto-optics
Aco yoğurt,Aco-yoghurt
açil taşıyıcı protein,ACP; acyl carrier protein
mavi amyant,acpe blue; blue asbestos; crocidolite; krokidolite
edinilmiş davranış,acquired behaviour; learned behaviour
edinilmiş özellik,acquired character; acquired characteristic; acquired trait
edinilmiş bağışıklık,acquired immunity
edinilmiş bağışıklık yetmezliği sendromu,acquired immunodeficiency syndrome; AIDS
edinilmiş mutasyon,acquired mutation
alerji,acquired sensitivity; allergy; induced sensitivity
edinilmiş sistemik dayanıklılık,acquired systemic resistance
alıcı banka,acquirer; acquiring bank
emici katman,acquisition distribution layer; acquisition layer; transfer layer
virüs alım beslenmesi,acquisition feeding
yoldan ihdas,acquisition from road
iktisap,acquisition of property
iveğen zehirlilik süreğen zehirlilik oranı,ACR; acute to chronic ratio
hayvan başına dönüm,acreage per livestock; acres of pasture per animal
akridin,acridine
akridin boyarmadde,acridine dye
akrobatik uçuş,acrobatic flight
uç merkezli kromozom,acrocentric chromosome
uçta gelişen,acrogenic; acrogenous
üst ağız,acrolect
akrolein,acrolein; propenal
akromegali,acromegaly
kısa ad,acronym
tabandan uca,acropetal
akrozomal tepkime,acrosomal reaction
sperm başı,acrosome
Alfa Haçı,Acrux; Alpha Crucis
akrilamit,acrylamide
akrilat polimer,acrylate polymer; polyacrylate
akrilat,acrylate; propenoate
akrilik asit,acrylic acid; propenoic acid
akrilik lif,acrylic fiber
polimetilmetakrilat,acrylic glass; PMMA; polymethyl methacrylate
akrilik boya,acrylic paint
akrilik reçine,acrylic resin
akrilonitril,acrylonitrile; propenenitrile
edim,act
adrenokortikotropik hormon,ACTH; adrenocorticotropic hormone; adrenocorticotropin; corticotropin
aktin,actin
aktinedida,actinedida
aktinik cam,actinic glass
aktinitler,actinide elements; actinoides
ışınsal,actiniform; actinoform
aktinyum,actinium
aktinobakteriler,Actinobacteria
aktinolit,actinolite
aktinometre,actinometer
aktinometri,actinometry
çok simetrili çiçek,actinomorphic
aktinomiset,actinomycete
aktinomikoz,actinomycosis; ray-fungus disease
aktinomikotin,actinomycotin
aktinotermik indeks,actinothermal index; actinothermic index
diken ışın,actinotrichium; spiny ray
edim,action
eylem,action
eylem,action
hamle,action
uzaktan etki,action at a distance
menü çubuğu,action bar; display toolbar; menu bar
kontrol limitleri,action levels; action limits; control levels; control limits; natural process limits
eylem planı,action plan
eylem potansiyeli,action potential
eylem ekibi,action team
aktif alümina,activated alumina
aktifleşmiş amino asit,activated amino acid
aktif karbon,activated carbon
aktif odun kömürü,activated charcoal
aktif kil,activated clay
aktif kompleks,activated complex
D2 vitamini,activated ergosterol; calciferol; ergocalciferol; viosterol; vitamin D2; vitamine D2
aktif çamur,activated sludge
aktif çamur yumağı,activated sludge floc; biofloc; biological floc
aktif çamur süreci,activated sludge process
aktifleştirici enzim,activating enzyme
aktivasyon enerjisi,activation energy
aktivasyon fonksiyonu,activation function
aktivatör,activator
canlandırıcı,activator
etkinleştirici,activator
aktif,active
aktif üç boyutlu gözlük,active 3D glasses; active glasses
aktif asitlik,active acidity; actual acidity
aktif saldırı,active attack
aktif biyokütle,active biomass
aktif karbona tutunma,active carbon adsorption; carbon adsorption
aktif mağara,active cave
aktif merkez,active center; active site; kinetic-chain carrier
aktif klor,active chlorine
aktif bileşen,active component
aktif görü,active computer vision; active vision
aktif kısıt kümesi,active constraint set; working set
bağlayıcı kısıt,active constraint; binding constraint
